Cenário;P_max (m.c.a)[Δ%];dx (m) [Δ%];Diâmetro (m) [Δ%];Tempo Manobra (s) [Δ%];Celeridade (m/s) [Δ%];Velocidade (m/s) [Δ%]
Caso 0;143.66 [+0.00%];1.00 [+0.00%];0.1053 [+0.00%];0.78 [+0.00%];1278.08 [+0.00%];1.01 [+0.00%]
Caso 1;166.34 [+15.79%];1.00 [+0.00%];0.1551 [+47.29%];0.81 [+3.13%];1239.34 [-3.03%];1.23 [+21.21%]
Caso 2;106.06 [-26.17%];1.00 [+0.00%];0.0528 [-49.86%];0.75 [-3.96%];1330.81 [+4.13%];0.72 [-29.10%]
Caso 3;143.69 [+0.02%];0.10 [-90.00%];0.1053 [+0.00%];0.78 [+0.00%];1278.08 [+0.00%];1.01 [+0.00%]
Caso 4;143.68 [+0.02%];10.00 [+900.00%];0.1053 [+0.00%];0.78 [+0.00%];1278.08 [+0.00%];1.01 [+0.00%]
Caso 5;145.05 [+0.97%];1.00 [+0.00%];0.1053 [+0.00%];0.16 [-80.00%];1278.08 [+0.00%];1.01 [+0.00%]
Caso 6;71.79 [-50.03%];1.00 [+0.00%];0.1053 [+0.00%];3.13 [+300.00%];1278.08 [+0.00%];1.01 [+0.00%]
Caso 7;66.24 [-53.89%];1.00 [+0.00%];0.0944 [-10.35%];1.65 [+110.61%];606.84 [-52.52%];0.96 [-5.29%]
Caso 8;59.68 [-58.46%];1.00 [+0.00%];0.0728 [-30.86%];1.64 [+109.41%];610.32 [-52.25%];0.84 [-16.78%]
Caso 9;51.19 [-64.37%];1.00 [+0.00%];0.0514 [-51.19%];1.64 [+109.55%];609.92 [-52.28%];0.71 [-30.04%]
