Cenário;ΔP_max (m.c.a);Δdx (m);ΔDiâmetro (m);ΔTempo Manobra (s);ΔCeleridade (m/s);ΔVelocidade Inicial (m/s)
Caso 0;0.0;0.0;0.0;0.0;0.0;0.0
Caso 1;15.786097;0.0;47.293447293447294;3.126136357375449;-3.0313715492473023;21.214483025556085
Caso 2;-26.17408;0.0;-49.857549857549856;-3.961813150531986;4.125247758729351;-29.096031491992434
Caso 3;0.016452413;-90.0;0.0;0.0;0.0;0.0
Caso 4;0.015719544;900.0;0.0;0.0;0.0;0.0
Caso 5;0.96616775;0.0;0.0;-80.0;0.0;0.0
Caso 6;-50.030605;0.0;0.0;300.0;0.0;0.0
Caso 7;-53.890152;0.0;-10.351377018043666;110.61265941935281;-52.519473294865406;-5.291366838740935
Caso 8;-58.455246;0.0;-30.86419753086419;109.41174439014777;-52.247186378576046;-16.78477261161077
Caso 9;-64.370476;0.0;-51.18708452041785;109.54824054684656;-52.278291748460646;-30.039919191100335
